time:1156961859, acc_x:-00118.16, acc_y:00016.11, acc_z:00907.23
time:1156969400, acc_x:-00083.98, acc_y:00023.44, acc_z:01118.65
time:1156976943, acc_x:-00270.02, acc_y:00099.61, acc_z:00966.31
time:1156984493, acc_x:-00083.98, acc_y:-00046.88, acc_z:01165.53
time:1156992123, acc_x:00068.85, acc_y:-00042.48, acc_z:00962.89
time:1156999673, acc_x:00062.99, acc_y:00005.37, acc_z:00894.53
time:1157007134, acc_x:00111.33, acc_y:00300.78, acc_z:00962.40
time:1157014589, acc_x:-00033.20, acc_y:00171.39, acc_z:01145.02
time:1157022137, acc_x:00102.05, acc_y:00142.58, acc_z:01009.77
time:1157029595, acc_x:-00110.35, acc_y:00499.02, acc_z:01026.37
time:1157037143, acc_x:-00050.78, acc_y:00081.05, acc_z:01009.77
time:1157044693, acc_x:-00001.95, acc_y:-00035.16, acc_z:00843.75
time:1157052320, acc_x:-00210.45, acc_y:-00060.06, acc_z:01055.18
time:1157059955, acc_x:-00147.46, acc_y:00037.11, acc_z:00946.29
time:1157067500, acc_x:-00003.42, acc_y:00027.34, acc_z:00912.11
time:1157075038, acc_x:00141.60, acc_y:00096.19, acc_z:01125.49
time:1157082497, acc_x:-00241.21, acc_y:00091.80, acc_z:00945.80
time:1157090038, acc_x:-00187.50, acc_y:00367.68, acc_z:01585.45
time:1157097580, acc_x:-00156.74, acc_y:00242.68, acc_z:00632.32
time:1157105122, acc_x:-00156.25, acc_y:00022.95, acc_z:00969.24
time:1157112675, acc_x:-00138.67, acc_y:00007.81, acc_z:01174.80
time:1157120214, acc_x:00237.79, acc_y:00093.26, acc_z:01026.37
time:1157127674, acc_x:-00112.30, acc_y:-00120.61, acc_z:00875.98
time:1157135304, acc_x:-00096.68, acc_y:00110.35, acc_z:00702.64
